Campaign;Account;Campaign ID;Impr.;Clicks;CTR;Avg. CPM;Avg. CPC;TrueView views;TrueView avg. CPV;Cost_Original;Conversions;Conv. rate;Cost / conv.;Cost;YouTube_Ad_Formats;Target_Countries;Number_of_Countries;Has_Demographics;Demographics_Segments_Count;Demographics_Label;Has_Interests;Interest_Segments_Count;Interests_Label;Start_Date;End_Date;Peak_Reach;Active_Quarters;Cost_Original_Global;Campaign bid strategy type;Target;Brand;Ad_Format;Date_Range;Bid_Strategy_Short;Goal;Standardized_Campaign_Name
T03_000286_HR_NFL_MicellarExtra_AW_Feb25_Mar25_fullf_OMD_DigGR_Influencers - NoN VVC;HR_Nivea_YouTube_x_OMD_EUR;22198490344;930,648;2,513;0.27%;3.22;1.19;474,028;0.01;2999.93;707.43;0.11%;4.24;2999.93;Skippable in-stream;Croatia;1;True;21;Available;True;14;Available;4 Feb 2025;23 Mar 2025;202075;Q1;2999.93;Maximum CPV;65+ | All;Nivea;YouTube In-Stream;Feb-Mar 25;Maximum CPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Feb-Mar 25 | Maximum CPV | Consideration
202501//Persil//Persil You Always Give Your Best//Persil You Always Give Your Best//video//Trueview//W25-54 - Couple;CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;22136208178;2,355,342;3,193;0.14%;2.95;2.18;0;0.0;6954.66;0;0.00%;0.0;6954.66;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;16 Jan 2025;5 May 2025;746132;Q1, Q2;6954.66;Target CPM;65+ | All;Persil;YouTube Non-Skip;Jan-May 25;tCPM;Awareness;Persil | YouTube Non-Skip | 65+ | All | Jan-May 25 | tCPM | Awareness
202501//Schauma//Schauma MEN Scalp Offense Relaunch 2024//Relaunch Schauma MEN Scalp Offense 2024//video//Trueview;CEE//HR//B//Hair Care//Schauma Family//Schauma;22149808469;1,930,240;2,448;0.13%;2.1;1.66;0;0.0;4053.63;0;0.00%;0.0;4053.63;Non-skippable in-stream;Croatia;1;True;21;Available;True;14;Available;21 Jan 2025;24 Mar 2025;648258;Q1;4053.63;Target CPM;65+ | All;CEE;YouTube Non-Skip;Jan-Mar 25;tCPM;Awareness;CEE | YouTube Non-Skip | 65+ | All | Jan-Mar 25 | tCPM | Awareness
T03_001594_HR_NFC_Q10DualActionSerum_AW_Jan25_Mar25_fullf_OMD_DigGR_bumper;HR_Nivea_YouTube_x_OMD_EUR;22149545170;3,394,998;11,403;0.34%;1.77;0.53;0;0.0;5993.9;1,351.87;11.86%;4.43;5993.9;Bumper;Croatia;1;True;21;Available;True;16;Available;20 Jan 2025;2 Mar 2025;918322;Q1;5993.9;Target CPM;65+ | All;Nivea;YouTube Bumper;Jan-Mar 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Jan-Mar 25 | tCPM | Awareness
T03_001233_HR_NCR_RepairCareAPC_AW_Feb25_Mar25_fullf_OMD_DigGR_Urea Bumper;HR_Nivea_YouTube_x_OMD_EUR;22211100459;632,105;1,268;0.20%;1.19;0.59;0;0.0;749.55;23.06;1.82%;32.5;749.55;Bumper;Croatia;1;True;21;Available;True;16;Available;10 Feb 2025;23 Mar 2025;334425;Q1;749.55;Target CPM;65+ | All;Nivea;YouTube Bumper;Feb-Mar 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Feb-Mar 25 | tCPM | Awareness
202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Trueview;CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;22592916878;6,631,590;10,386;0.16%;2.11;1.35;0;0.0;13999.13;0;0.00%;0.0;13999.13;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;23 May 2025;30 Aug 2025;1166159;Q2, Q3;13999.13;Target CPM;65+ | All;Persil;YouTube Non-Skip;May-Aug 25;tCPM;Awareness;Persil | YouTube Non-Skip | 65+ | All | May-Aug 25 | tCPM | Awareness
202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Trueview;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22594564050;1,383,150;302;0.02%;2.35;10.75;0;0.0;3246.12;0;0.00%;0.0;3246.12;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;26 May 2025;17 Aug 2025;421730;Q2, Q3;3246.12;Target CPM;65+ | All;Syoss;YouTube Non-Skip;May-Aug 25;tCPM;Awareness;Syoss | YouTube Non-Skip | 65+ | All | May-Aug 25 | tCPM | Awareness
T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Male;HR_Nivea_YouTube_x_OMD_EUR;22366896424;233,696;171;0.07%;2.14;2.93;168,861;0.0;500.32;76.49;0.04%;6.54;500.32;Skippable in-stream;Croatia;1;True;21;Available;True;21;Available;21 Mar 2025;13 Apr 2025;74984;Q1, Q2;500.32;Target CPV;65+ | All;Nivea;YouTube In-Stream;Mar-Apr 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Mar-Apr 25 | tCPV | Consideration
T03_001505_HR_NME_Luminous630Moisturizer_AW_Feb25_Mar25_fullf_OMD_DigGR_KNOW - Bumper W;HR_Nivea_YouTube_x_OMD_EUR;22199101129;1,373,827;3,134;0.23%;1.53;0.67;0;0.0;2096.34;113.52;3.62%;18.47;2096.34;Bumper;Croatia;1;True;21;Available;True;27;Available;4 Feb 2025;23 Mar 2025;559858;Q1;2096.34;Target CPM;65+ | All;Nivea;YouTube Bumper;Feb-Mar 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Feb-Mar 25 | tCPM | Awareness
T03_000717_HR_NIV_Promotion_AW_Mar25_Mar25_fullf_OMD_DigGR_TrueviewShorts - Female;HR_Nivea_YouTube_x_OMD_EUR;22284289146;570,504;879;0.15%;1.23;0.8;15,813;0.04;700.51;112.15;0.60%;6.25;700.51;Shorts;Croatia;1;True;21;Available;True;20;Available;1 Mar 2025;31 Mar 2025;211281;Q1;700.51;Target CPM;65+ | All;Nivea;YouTube Shorts;Mar 25;tCPM;Awareness;Nivea | YouTube Shorts | 65+ | All | Mar 25 | tCPM | Awareness
T03_000158_HR_NDO_BW(unisex)_CO_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Female;HR_Nivea_YouTube_x_OMD_EUR;22363752698;660,136;1,055;0.16%;2.93;1.84;391,219;0.0;1937.17;480.49;0.10%;4.03;1937.17;Skippable in-stream;Croatia;1;True;21;Available;True;5;Available;21 Mar 2025;13 Apr 2025;201023;Q1, Q2;1937.17;Target CPV;65+ | All;Nivea;YouTube In-Stream;Mar-Apr 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Mar-Apr 25 | tCPV | Consideration
T03_001637_HR_NFC_Q10UVSerum_AW_Jul25_Aug25_fullf_OMD_DigGR_VRC;HR_Nivea_YouTube_x_OMD_EUR;22759159350;5,554,182;8,736;0.16%;1.82;1.16;439,257;0.01;10100.06;441.32;0.07%;22.89;10100.06;Bumper, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;2;Available;14 Jul 2025;24 Aug 2025;1286156;Q3;10100.06;Target CPM;65+ | All;Nivea;YouTube In-Stream;Jul-Aug 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Jul-Aug 25 | tCPM | Awareness
T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Female;HR_Nivea_YouTube_x_OMD_EUR;22363265963;180,844;104;0.06%;2.77;4.81;126,962;0.0;500.37;14.04;0.01%;35.63;500.37;Skippable in-stream;Croatia;1;True;21;Available;True;21;Available;21 Mar 2025;13 Apr 2025;70737;Q1, Q2;500.37;Target CPV;65+ | All;Nivea;YouTube In-Stream;Mar-Apr 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Mar-Apr 25 | tCPV | Consideration
T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Bumper - Male;HR_Nivea_YouTube_x_OMD_EUR;22366950856;421,252;755;0.18%;1.19;0.66;0;0.0;499.83;4;0.53%;124.96;499.83;Bumper;Croatia;1;True;21;Available;True;15;Available;21 Mar 2025;13 Apr 2025;179738;Q1, Q2;499.83;Target CPM;65+ | All;Nivea;YouTube Bumper;Mar-Apr 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Mar-Apr 25 | tCPM | Awareness
T03_000033_HR_NCR_Soft_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22419536577;3,188,543;6,523;0.20%;2.23;1.09;855,258;0.01;7103.6;380.96;0.03%;18.65;7103.6;Skippable in-stream;Croatia;1;True;21;Available;True;2;Available;14 Apr 2025;1 Jun 2025;823987;Q2;7103.6;Target CPM;65+ | All;Nivea;YouTube In-Stream;Apr-Jun 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Apr-Jun 25 | tCPM | Awareness
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22707031568;5,965,313;13,130;0.22%;2.01;0.91;1,516,039;0.01;11997.8;432.96;0.02%;27.71;11997.8;Skippable in-stream;Croatia;1;True;21;Available;True;1;Available;30 Jun 2025;17 Aug 2025;1235248;Q2, Q3;11997.8;Target CPM;65+ | All;Nivea;YouTube In-Stream;Jun-Aug 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Jun-Aug 25 | tCPM | Awareness
202504//Syoss Color//Syoss_COL Keratin RL 25//Syoss_COL Keratin RL 25//video//Trueview;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22533659230;2,079,295;1,174;0.06%;2.4;4.26;0;0.0;5000.15;0;0.00%;0.0;5000.15;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;8 May 2025;30 Jun 2025;710249;Q2;5000.15;Target CPM;65+ | All;Syoss;YouTube Non-Skip;May-Jun 25;tCPM;Awareness;Syoss | YouTube Non-Skip | 65+ | All | May-Jun 25 | tCPM | Awareness
202504//Syoss Color//Syoss_COL Keratin RL 25//Syoss_COL Keratin RL 25//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22533691090;2,121,776;4,729;0.22%;1.41;0.63;0;0.0;2999.76;0;0.00%;0.0;2999.76;Bumper;Croatia;1;True;21;Available;True;1;Available;8 May 2025;30 Jun 2025;744888;Q2;2999.76;Target CPM;65+ | All;Syoss;YouTube Bumper;May-Jun 25;tCPM;Awareness;Syoss | YouTube Bumper | 65+ | All | May-Jun 25 | tCPM | Awareness
T03_001506_HR_NBD_Luminous630Body_AW_Mar25_May25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22343045254;873,197;789;0.09%;3.44;3.8;603,851;0.0;3000.68;171.87;0.02%;17.46;3000.68;Skippable in-stream;Croatia;1;True;21;Available;True;19;Available;17 Mar 2025;4 May 2025;271056;Q1, Q2;3000.68;Target CPV;65+ | All;Nivea;YouTube In-Stream;Mar-May 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Mar-May 25 | tCPV | Consideration
T03_001594_HR_NFC_Q10DualActionSerum_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueViewYounger;HR_Nivea_YouTube_x_OMD_EUR;22445914925;1,845,264;3,911;0.21%;3.41;1.61;1,145,752;0.01;6300.19;871.63;0.07%;7.23;6300.19;Skippable in-stream;Croatia;1;True;21;Available;True;11;Available;21 Apr 2025;1 Jun 2025;448535;Q2;6300.19;Target CPV;65+ | All;Nivea;YouTube In-Stream;Apr-Jun 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Apr-Jun 25 | tCPV | Consideration
T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22601647835;1,055,685;2,814;0.27%;0.66;0.25;29,187;0.02;700.44;134.33;0.25%;5.21;700.44;Shorts;Croatia;1;True;21;Available;True;9;Available;2 Jun 2025;27 Jul 2025;139815;Q2, Q3;700.44;Target CPV;65+ | All;Nivea;YouTube Shorts;Jun-Jul 25;tCPV;Consideration;Nivea | YouTube Shorts | 65+ | All | Jun-Jul 25 | tCPV | Consideration
202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Bumper//All25-34 no kids;CEE//HR//L//ADW//Disburdening//Somat;22082474532;795,822;1,063;0.13%;1.04;0.78;0;0.0;829.19;0;0.00%;0.0;829.19;Bumper;Croatia;1;True;21;Available;True;1;Available;6 Jan 2025;6 Jul 2025;493524;Q1;829.19;Target CPM;65+ | All;Somat;YouTube Bumper;Jan-Jul 25;tCPM;Awareness;Somat | YouTube Bumper | 65+ | All | Jan-Jul 25 | tCPM | Awareness
202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22594603356;1,603,504;3,416;0.21%;1.35;0.63;0;0.0;2163.8;0;0.00%;0.0;2163.8;Bumper;Croatia;1;True;21;Available;True;1;Available;26 May 2025;17 Aug 2025;555742;Q2, Q3;2163.8;Target CPM;65+ | All;Syoss;YouTube Bumper;May-Aug 25;tCPM;Awareness;Syoss | YouTube Bumper | 65+ | All | May-Aug 25 | tCPM | Awareness
202512//Ceresit//Ceresit Expert;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23348045715;1,685,234;46,679;2.77%;0.97;0.04;0;0.0;1638.78;0;0.00%;0.0;1637.45;Non-YouTube Format;Australia, Belgium, Bulgaria, Canada, Croatia, Cyprus, Czechia, Denmark, Finland, Germany, Greece, Guadeloupe, Hong Kong, Iceland, Ireland, Israel, Japan, Latvia, Lithuania, Luxembourg, Malta, Netherlands, New Zealand, Nigeria, Norway, Oman, Poland, Portugal, Qatar, Reunion, Romania, Saudi Arabia, Singapore, Slovakia, South Africa, South Korea, Sweden, Switzerland;38;True;21;Available;True;9;Available;11 Dec 2025;31 Dec 2025;415884;Q4;1638.78;Maximise clicks;65+ | All;CEE;Other;Dec 25;MaxClicks;Consideration;CEE | Other | 65+ | All | Dec 25 | MaxClicks | Consideration
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22710781375;2,090,687;2,255;0.11%;0.72;0.67;29,207;0.05;1500.92;43.13;0.06%;34.8;1500.92;Shorts;Croatia;1;True;21;Available;True;1;Available;30 Jun 2025;17 Aug 2025;472098;Q2, Q3;1500.92;Target CPM;65+ | All;Nivea;YouTube Shorts;Jun-Aug 25;tCPM;Awareness;Nivea | YouTube Shorts | 65+ | All | Jun-Aug 25 | tCPM | Awareness
202501//Persil//Persil You Always Give Your Best//Persil You Always Give Your Best//video//Trueview//W25-34 - Consultant;CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;22126220538;2,466,991;4,983;0.20%;2.82;1.4;0;0.0;6954.44;0;0.00%;0.0;6954.44;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;16 Jan 2025;5 May 2025;772658;Q1, Q2;6954.44;Target CPM;65+ | All;Persil;YouTube Non-Skip;Jan-May 25;tCPM;Awareness;Persil | YouTube Non-Skip | 65+ | All | Jan-May 25 | tCPM | Awareness
T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_BumperYounger;HR_Nivea_YouTube_x_OMD_EUR;22449249724;542,622;877;0.16%;1.99;1.23;0;0.0;1080.42;72.06;8.22%;14.99;1080.42;Bumper;Croatia;1;True;21;Available;True;17;Available;21 Apr 2025;1 Jun 2025;261496;Q2;1080.42;Target CPM;65+ | All;Nivea;YouTube Bumper;Apr-Jun 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Apr-Jun 25 | tCPM | Awareness
202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Trueview//W35-54 with kids;CEE//HR//L//ADW//Disburdening//Somat;22082424657;533,082;808;0.15%;2.34;1.55;0;0.0;1249.9;0;0.00%;0.0;1249.9;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;6 Jan 2025;6 Jul 2025;320789;Q1;1249.9;Target CPM;65+ | All;Somat;YouTube Non-Skip;Jan-Jul 25;tCPM;Awareness;Somat | YouTube Non-Skip | 65+ | All | Jan-Jul 25 | tCPM | Awareness
T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_BumperOlder;HR_Nivea_YouTube_x_OMD_EUR;22439393505;419,079;1,079;0.26%;1.72;0.67;0;0.0;720.41;41.2;3.82%;17.49;720.41;Bumper;Croatia;1;True;21;Available;True;17;Available;21 Apr 2025;1 Jun 2025;219521;Q2;720.41;Target CPM;65+ | All;Nivea;YouTube Bumper;Apr-Jun 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Apr-Jun 25 | tCPM | Awareness
202501//Gliss//Gliss Brand Support 2025 (SKMB)//Relaunch Gliss Shampoo 2025//video//TrueView;CEE//HR//B//Hair Care//Gliss Care//Gliss;22082495706;2,512,720;3,035;0.12%;2.25;1.86;0;0.0;5658.57;0;0.00%;0.0;5658.57;Non-skippable in-stream;Croatia;1;True;21;Available;True;18;Available;6 Jan 2025;2 Mar 2025;893647;Q1;5658.57;Target CPM;65+ | All;CEE;YouTube Non-Skip;Jan-Mar 25;tCPM;Awareness;CEE | YouTube Non-Skip | 65+ | All | Jan-Mar 25 | tCPM | Awareness
T03_000033_HR_NCR_Soft_AW_Apr25_Jun25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22429432504;4,272,527;8,678;0.20%;2.03;1.0;0;0.0;8681.97;35.86;0.41%;242.13;8681.97;Bumper;Croatia;1;True;21;Available;True;2;Available;14 Apr 2025;1 Jun 2025;956955;Q2;8681.97;Target CPM;65+ | All;Nivea;YouTube Bumper;Apr-Jun 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Apr-Jun 25 | tCPM | Awareness
T03_000033_HR_NCR_Soft_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22429642072;3,041,658;6,073;0.20%;2.22;1.11;935,683;0.01;6765.28;233.56;0.02%;28.97;6765.28;Skippable in-stream;Croatia;1;True;21;Available;True;17;Available;14 Apr 2025;1 Jun 2025;785803;Q2;6765.28;Target CPM;65+ | All;Nivea;YouTube In-Stream;Apr-Jun 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Apr-Jun 25 | tCPM | Awareness
T03_000055_HR_NBD_BodyMilk_AW_Jan25_Feb25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22129106611;2,078,042;5,824;0.28%;2.89;1.03;1,061,306;0.01;5999.63;2,212.81;0.17%;2.71;5999.63;Skippable in-stream;Croatia;1;True;21;Available;True;14;Available;14 Jan 2025;23 Feb 2025;563678;Q1;5999.63;Maximum CPV;65+ | All;Nivea;YouTube In-Stream;Jan-Feb 25;Maximum CPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Jan-Feb 25 | Maximum CPV | Consideration
T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22867060452;2,435,491;2,416;0.10%;1.11;1.12;157,355;0.01;2701.24;31;0.02%;87.14;2701.24;Bumper, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;1;Available;18 Aug 2025;12 Oct 2025;615097;Q3, Q4;2701.24;Target CPM;65+ | All;Nivea;YouTube In-Stream;Aug-Oct 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Aug-Oct 25 | tCPM | Awareness
202504//Gliss//Gliss_CAR FH Wonder EU B 25//Gliss_CAR FH Wonder EU B 25//video//Bumper;CEE//HR//B//Hair Care//Gliss Care//Gliss;22489976397;2,383,236;4,911;0.21%;1.37;0.66;0;0.0;3261.71;0;0.00%;0.0;3261.71;Bumper;Croatia;1;True;21;Available;True;1;Available;29 Apr 2025;25 May 2025;765168;Q2;3261.71;Target CPM;65+ | All;CEE;YouTube Bumper;Apr-May 25;tCPM;Awareness;CEE | YouTube Bumper | 65+ | All | Apr-May 25 | tCPM | Awareness
202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Trueview;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22642352104;5,521,544;6,179;0.11%;2.48;2.22;0;0.0;13711.21;0;0.00%;0.0;13711.21;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;4 Jun 2025;21 Sept 2025;1095935;Q2, Q3;13711.21;Target CPM;65+ | All;Syoss;YouTube Non-Skip;Jun-Sep 25;tCPM;Awareness;Syoss | YouTube Non-Skip | 65+ | All | Jun-Sep 25 | tCPM | Awareness
T03_001632_HR_NFC_CellularSerumRange_AW_Mar25_May25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22339414513;2,902,074;7,112;0.25%;3.45;1.41;1,568,687;0.01;10000.29;2,869.08;0.15%;3.49;10000.29;Skippable in-stream;Croatia;1;True;21;Available;True;21;Available;17 Mar 2025;11 May 2025;563105;Q1, Q2;10000.29;Target CPV;65+ | All;Nivea;YouTube In-Stream;Mar-May 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Mar-May 25 | tCPV | Consideration
T03_000085_HR_NSU_UVFace_AW_Mar25_May25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22322179083;3,986,200;7,646;0.19%;2.23;1.16;0;0.0;8875.46;86.89;1.14%;102.15;8875.46;Bumper;Croatia;1;True;21;Available;True;14;Available;11 Mar 2025;4 May 2025;845368;Q1, Q2;8875.46;Target CPM;65+ | All;Nivea;YouTube Bumper;Mar-May 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Mar-May 25 | tCPM | Awareness
202504//Ceresit//CeresitCT84//Brand Campaign;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;22470733844;1,504,426;31,679;2.11%;0.96;0.05;0;0.0;1440.39;0;0.00%;0.0;1440.39;Non-YouTube Format;Croatia;1;True;21;Available;True;13;Available;22 Apr 2025;21 Jun 2025;487283;Q2;1440.39;Maximise clicks;65+ | All;CEE;Other;Apr-Jun 25;MaxClicks;Consideration;CEE | Other | 65+ | All | Apr-Jun 25 | MaxClicks | Consideration
T03_000717_HR_NIV_Promotion_AW_Mar25_Mar25_fullf_OMD_DigGR_Bumper - Female;HR_Nivea_YouTube_x_OMD_EUR;22295030785;884,139;1,597;0.18%;1.47;0.81;0;0.0;1300.42;161.66;10.12%;8.04;1300.42;Bumper;Croatia;1;True;21;Available;True;21;Available;1 Mar 2025;31 Mar 2025;476585;Q1;1300.42;Target CPM;65+ | All;Nivea;YouTube Bumper;Mar 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Mar 25 | tCPM | Awareness
T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueViewYounger;HR_Nivea_YouTube_x_OMD_EUR;22439414346;493,963;452;0.09%;3.28;3.58;357,282;0.0;1620.32;137.88;0.04%;11.75;1620.32;Skippable in-stream;Croatia;1;True;21;Available;True;16;Available;21 Apr 2025;1 Jun 2025;154742;Q2;1620.32;Target CPV;65+ | All;Nivea;YouTube In-Stream;Apr-Jun 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Apr-Jun 25 | tCPV | Consideration
T03_001636_HR_NFC_CellularEpigenetics_CO_Sep25_Oct25_fullf_OMD_DigGR_TrueView_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22928895972;1,256,267;2,188;0.17%;2.28;1.31;352,696;0.01;2860.6;523.76;0.11%;5.46;2860.6;Skippable in-stream;Croatia;1;True;21;Available;True;6;Available;1 Sept 2025;31 Oct 2025;455191;Q3, Q4;2860.6;Target CPM;65+ | All;Nivea;YouTube In-Stream;Sep-Oct 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Sep-Oct 25 | tCPM | Awareness
202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Trueview//All25-34 no kids;CEE//HR//L//ADW//Disburdening//Somat;22082441424;571,854;542;0.09%;2.19;2.31;0;0.0;1253.15;0;0.00%;0.0;1253.15;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;6 Jan 2025;6 Jul 2025;381976;Q1;1253.15;Target CPM;65+ | All;Somat;YouTube Non-Skip;Jan-Jul 25;tCPM;Awareness;Somat | YouTube Non-Skip | 65+ | All | Jan-Jul 25 | tCPM | Awareness
T03_000158_HR_NDO_BW(unisex)_CO_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Male;HR_Nivea_YouTube_x_OMD_EUR;22363394816;768,833;907;0.12%;2.52;2.14;524,806;0.0;1936.78;240.07;0.04%;8.07;1936.78;Skippable in-stream;Croatia;1;True;21;Available;True;5;Available;21 Mar 2025;13 Apr 2025;223478;Q1, Q2;1936.78;Target CPV;65+ | All;Nivea;YouTube In-Stream;Mar-Apr 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Mar-Apr 25 | tCPV | Consideration
202506//Gliss//Gliss_CAR Liquid Silk LX 24//Gliss_CAR Liquid Silk LX//video//TrueView;CEE//HR//B//Hair Care//Gliss Care//Gliss;22629454076;3,027,352;3,727;0.12%;2.46;2.0;0;0.0;7458.56;0;0.00%;0.0;7458.56;Non-skippable in-stream;Croatia;1;True;21;Available;True;18;Available;2 Jun 2025;11 Aug 2025;823307;Q2, Q3;7458.56;Target CPM;65+ | All;CEE;YouTube Non-Skip;Jun-Aug 25;tCPM;Awareness;CEE | YouTube Non-Skip | 65+ | All | Jun-Aug 25 | tCPM | Awareness
T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22876405666;4,069,427;5,321;0.13%;1.47;1.13;254,956;0.01;6001.2;156.79;0.05%;38.28;6001.2;Bumper, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;1;Available;18 Aug 2025;12 Oct 2025;856863;Q3, Q4;6001.2;Target CPM;65+ | All;Nivea;YouTube In-Stream;Aug-Oct 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Aug-Oct 25 | tCPM | Awareness
T03_000227_HR_NFC_CellularLuminous630_AW_Feb25_Apr25_fullf_OMD_DigGR_trueview;HR_Nivea_YouTube_x_OMD_EUR;22249484069;2,851,370;6,008;0.21%;2.28;1.08;1,200,529;0.01;6500.98;2,612.01;0.18%;2.49;6500.98;In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;22;Available;17 Feb 2025;13 Apr 2025;672036;Q1, Q2;6500.98;Target CPV;65+ | All;Nivea;YouTube In-Stream;Feb-Apr 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Feb-Apr 25 | tCPV | Consideration
